,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Zhenis Astana,31,22.5,13,-,-,https://www.transfermarkt.com/zhenis-astana/kader/verein/12019/saison_id/2000/plus/1
1,Yesil-Bogatyr Petropavlovsk,23,24.3,9,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2000/plus/1
2,Kairat Almaty,32,21.4,10,-,-,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2000/plus/1
3,Elimay Semipalatinsk,27,24.0,7,-,-,https://www.transfermarkt.com/elimay-semipalatinsk/kader/verein/31007/saison_id/2000/plus/1
4,Vostok-Altyn Oskemen,30,22.5,8,-,-,https://www.transfermarkt.com/vostok-altyn-oskemen/kader/verein/16780/saison_id/2000/plus/1
5,Kaysar Kyzylorda,22,25.6,7,-,-,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2000/plus/1
6,Ekibastuzets-NK Ekibastuz,26,24.2,4,-,-,https://www.transfermarkt.com/ekibastuzets-nk-ekibastuz/kader/verein/8832/saison_id/2000/plus/1
7,FK Taraz,33,21.5,7,-,-,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2000/plus/1
8,Mangystau Aktau,27,21.9,8,-,-,https://www.transfermarkt.com/mangystau-aktau/kader/verein/34239/saison_id/2000/plus/1
9,FK Atyrau,20,26.3,8,-,-,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2000/plus/1
10,Irtysh Pavlodar,38,25.3,12,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2000/plus/1
11,Tobol Kostanay,25,24.6,7,-,-,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2000/plus/1
12,Aktobe-Lento Aktobe,27,24.6,9,-,-,https://www.transfermarkt.com/aktobe-lento-aktobe/kader/verein/10157/saison_id/2000/plus/1
13,Esil Kokhetau,25,25.6,16,-,-,https://www.transfermarkt.com/esil-kokhetau/kader/verein/19662/saison_id/2000/plus/1
14,Shakhter-Ispat-Karmet Karaganda,30,23.3,6,-,-,https://www.transfermarkt.com/shakhter-ispat-karmet-karaganda/kader/verein/10480/saison_id/2000/plus/1
15,Zhetysu Taldykorgan,30,23.6,12,-,-,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2000/plus/1
16,Dostyk Shymkent,28,21.5,6,-,-,https://www.transfermarkt.com/dostyk-shymkent/kader/verein/16779/saison_id/2000/plus/1
