,Player,Club,Position,Number,Date of Birth,Height,Foot,Joined,Market Value,Season
0,Dmitriy Nepogodov,FC Astana,Goalkeeper,22,"Feb 17, 1988 (30)",,"1,96m",left,€1.00m,2019
1,Nenad Eric,FC Astana,Goalkeeper,1,"May 26, 1982 (36)",,"1,97m",right,€300k,2019
2,Aleksandr Mokin,FC Astana,Goalkeeper,-,"Jun 19, 1981 (37)",,"1,94m",right,€100k,2019
3,Stanislav Pavlov,FC Astana,Goalkeeper,35,"May 30, 1994 (24)",,"1,93m",right,€100k,2019
4,Danil Podymskiy,FC Astana,Goalkeeper,31,"Jun 5, 1998 (20)",,"1,90m",right,-,2019
5,Marin Anicic,FC Astana,Centre-Back,-,"Aug 17, 1989 (29)",,"1,92m",left,€1.50m,2019
6,Zarko Tomasevic,FC Astana,Centre-Back,33,"Feb 22, 1990 (28)",,"1,90m",left,€1.50m,2019
7,Uros Radakovic,FC Astana,Centre-Back,4,"Mar 31, 1994 (24)",,"1,94m",right,€1.25m,2019
8,Sergey Maliy,FC Astana,Centre-Back,25,"Jun 5, 1990 (28)",,"1,91m",right,€1.00m,2019
9,Evgeniy Postnikov,FC Astana,Centre-Back,44,"Apr 16, 1986 (32)",,"1,89m",right,€1.00m,2019
10,Luka Simunovic,FC Astana,Centre-Back,24,"May 24, 1997 (21)",,"1,85m",right,€100k,2019
11,Dinmukhammed Kashken,FC Astana,Centre-Back,76,"Jan 4, 2000 (18)",,"1,87m",right,€100k,2019
12,Dmitriy Shomko,FC Astana,Left-Back,77,"Mar 19, 1990 (28)",,"1,85m",left,€2.50m,2019
13,Abzal Beysebekov,FC Astana,Right-Back,15,"Nov 30, 1992 (26)",,"1,87m",right,€1.20m,2019
14,Antonio Rukavina,FC Astana,Right-Back,2,"Jan 26, 1984 (34)",,"1,77m",right,€800k,2019
15,Lev Skvortsov,FC Astana,Right-Back,-,"Feb 2, 2000 (18)",,"1,80m",both,€100k,2019
16,Ivan Maevskiy,FC Astana,Defensive Midfield,18,"May 5, 1988 (30)",,"1,90m",right,€1.20m,2019
17,Yuriy Logvinenko,FC Astana,Defensive Midfield,27,"Jul 22, 1988 (30)",,"1,87m",left,€1.00m,2019
18,Rúnar Már Sigurjónsson,FC Astana,Central Midfield,10,"Jun 18, 1990 (28)",,"1,78m",right,€1.50m,2019
19,Yuriy Pertsukh,FC Astana,Central Midfield,28,"May 13, 1996 (22)",,"1,86m",right,€500k,2019
20,Sultan Sagnaev,FC Astana,Central Midfield,70,"Jan 14, 2000 (18)",,"1,72m",right,€250k,2019
21,Madi Zhakipbaev,FC Astana,Central Midfield,29,"Mar 21, 2000 (18)",,"1,74m",right,€200k,2019
22,Maks Ebong,FC Astana,Central Midfield,7,"Aug 26, 1999 (19)",,"1,80m",right,€150k,2019
23,Serikzhan Muzhikov,FC Astana,Attacking Midfield,-,"Jun 17, 1989 (29)",,"1,69m",right,€1.00m,2019
24,Roman Murtazaev,FC Astana,Left Winger,-,"Sep 10, 1993 (25)",,"1,88m",right,€2.50m,2019
25,Didar Zhalmukan,FC Astana,Left Winger,73,"May 22, 1996 (22)",,"1,73m",right,€350k,2019
26,Marin Tomasov,FC Astana,Right Winger,14,"Aug 31, 1987 (31)",,"1,84m",left,€3.00m,2019
27,Dorin Rotariu,FC Astana,Right Winger,9,"Jul 29, 1995 (23)",,"1,80m",left,€1.00m,2019
28,Tigran Barseghyan,FC Astana,Right Winger,11,"Sep 22, 1993 (25)",,"1,79m",left,€750k,2019
29,Stanislav Basmanov,FC Astana,Right Winger,-,"Jun 24, 2001 (17)",,"1,79m",right,€75k,2019
30,Firmin Mubele,FC Astana,Centre-Forward,19,"Apr 17, 1994 (24)",,"1,75m",right,€6.00m,2019
31,Aleksey Shchetkin,FC Astana,Centre-Forward,99,"May 21, 1991 (27)",,"1,93m",right,€2.00m,2019
32,Pieros Sotiriou,FC Astana,Centre-Forward,29,"Jan 13, 1993 (25)",,"1,84m",right,€1.25m,2019
33,Rangelo Janga,FC Astana,Centre-Forward,-,"Apr 16, 1992 (26)",,"1,92m",right,€1.20m,2019
34,Sergey Khizhnichenko,FC Astana,Centre-Forward,-,"Jul 17, 1991 (27)",,"1,87m",right,€300k,2019
35,Vladislav Prokopenko,FC Astana,Centre-Forward,80,"Jul 1, 2000 (18)",,"1,80m",right,€250k,2019
36,Ramazan Karimov,FC Astana,Centre-Forward,81,"Jul 5, 1999 (19)",,"1,90m",right,€100k,2019
37,Igor Shatskiy,Tobol Kostanay,Goalkeeper,30,"May 11, 1989 (29)",,"1,85m",right,€500k,2019
38,Emil Balayev,Tobol Kostanay,Goalkeeper,-,"Apr 17, 1994 (24)",,"1,89m",left,€400k,2019
39,Andrey Pasechenko,Tobol Kostanay,Goalkeeper,-,"Aug 9, 1987 (31)",,"1,80m",right,€300k,2019
40,Sultan Busurmanov,Tobol Kostanay,Goalkeeper,12,"May 10, 1996 (22)",,"1,86m",right,€150k,2019
41,Zhasur Narzikulov,Tobol Kostanay,Goalkeeper,-,"Apr 13, 1984 (34)",,"1,89m",right,€100k,2019
42,Aleksandr Mokin,Tobol Kostanay,Goalkeeper,35,"Jun 19, 1981 (37)",,"1,94m",right,€100k,2019
43,Viktor Dmitrenko,Tobol Kostanay,Centre-Back,-,"Apr 4, 1991 (27)",,"1,90m",right,€1.00m,2019
44,Sergey Maliy,Tobol Kostanay,Centre-Back,25,"Jun 5, 1990 (28)",,"1,91m",right,€1.00m,2019
45,Aleksandr Kleshchenko,Tobol Kostanay,Centre-Back,-,"Nov 2, 1995 (23)",,"1,87m",left,€700k,2019
46,Temirlan Erlanov,Tobol Kostanay,Centre-Back,8,"Jul 9, 1993 (25)",,"1,90m",right,€600k,2019
47,Fernander Kassaï,Tobol Kostanay,Centre-Back,-,"Jul 1, 1987 (31)",,"1,84m",right,€500k,2019
48,Aleksa Amanovic,Tobol Kostanay,Centre-Back,24,"Oct 24, 1996 (22)",,"1,87m",left,€400k,2019
49,Sultan Abilgazy,Tobol Kostanay,Centre-Back,21,"Feb 22, 1997 (21)",,"1,80m",right,€200k,2019
50,Ilyas Almukhamedov,Tobol Kostanay,Centre-Back,-,"Feb 1, 2000 (18)",,"1,85m",,-,2019
51,Daniyar Semchenkov,Tobol Kostanay,Centre-Back,18,"Feb 12, 1997 (21)",,"1,86m",right,-,2019
52,Arman Hovhannisyan,Tobol Kostanay,Left-Back,4,"Jul 7, 1993 (25)",,"1,84m",left,€175k,2019
53,Sagadat Tursynbay,Tobol Kostanay,Left-Back,26,"Mar 26, 1999 (19)",,"1,88m",left,€150k,2019
54,Roman Asrankulov,Tobol Kostanay,Left-Back,23,"Jul 30, 1999 (19)",,"1,86m",left,-,2019
55,Dmitriy Miroshnichenko,Tobol Kostanay,Right-Back,7,"Feb 26, 1992 (26)",,"1,83m",right,€900k,2019
56,Arturas Zulpa,Tobol Kostanay,Defensive Midfield,-,"Jun 10, 1990 (28)",,"1,88m",right,€1.00m,2019
57,Nika Kvekveskiri,Tobol Kostanay,Defensive Midfield,10,"May 29, 1992 (26)",,"1,86m",right,€1.00m,2019
58,Jaba Kankava,Tobol Kostanay,Defensive Midfield,20,"Mar 18, 1986 (32)",,"1,76m",both,€1.00m,2019
59,Aleksandr Zhukov,Tobol Kostanay,Defensive Midfield,-,"Nov 4, 1997 (21)",,"1,78m",right,€50k,2019
60,Shyngys Kazin,Tobol Kostanay,Midfielder,-,"Nov 9, 1999 (19)",,-,,-,2019
61,Alikhan Nuguman,Tobol Kostanay,Midfielder,-,"Dec 23, 1999 (19)",,-,,-,2019
62,Alsaid Akhmetzhanov,Tobol Kostanay,Midfielder,-,"Aug 9, 2000 (18)",,"1,73m",,-,2019
63,Samat Zharynbetov,Tobol Kostanay,Central Midfield,14,"Jan 4, 1994 (24)",,"1,74m",right,€200k,2019
64,Ruslan Valiullin,Tobol Kostanay,Left Midfield,17,"Sep 9, 1994 (24)",,"1,80m",left,€350k,2019
65,Serikzhan Muzhikov,Tobol Kostanay,Attacking Midfield,11,"Jun 17, 1989 (29)",,"1,69m",right,€1.00m,2019
66,Nikita Bocharov,Tobol Kostanay,Attacking Midfield,-,"Jun 12, 1992 (26)",,"1,84m",right,€850k,2019
67,Petros Avetisyan,Tobol Kostanay,Attacking Midfield,77,"Jan 7, 1996 (22)",,"1,78m",right,€300k,2019
68,Jérémy Manzorro,Tobol Kostanay,Attacking Midfield,69,"Nov 11, 1991 (27)",,"1,73m",right,€250k,2019
69,Roman Murtazaev,Tobol Kostanay,Left Winger,45,"Sep 10, 1993 (25)",,"1,88m",right,€2.50m,2019
70,Azat Nurgaliev,Tobol Kostanay,Left Winger,13,"Jun 30, 1986 (32)",,"1,73m",both,€700k,2019
71,Zhaslan Zhumashev,Tobol Kostanay,Left Winger,44,"Sep 27, 2001 (17)",,"1,75m",both,-,2019
72,Mikhail Gordeychuk,Tobol Kostanay,Right Winger,-,"Oct 23, 1989 (29)",,"1,76m",both,€2.00m,2019
73,Maksim Fedin,Tobol Kostanay,Right Winger,-,"Jun 8, 1996 (22)",,"1,75m",right,€750k,2019
74,Carlos Fonseca,Tobol Kostanay,Right Winger,87,"Aug 23, 1987 (31)",,"1,80m",left,€500k,2019
75,Luka Zarandia,Tobol Kostanay,Right Winger,-,"Feb 17, 1996 (22)",,"1,78m",left,€350k,2019
76,Bauyrzhan Turysbek,Tobol Kostanay,Centre-Forward,-,"Oct 15, 1991 (27)",,"1,81m",right,€900k,2019
77,Senin Sebai,Tobol Kostanay,Centre-Forward,19,"Dec 18, 1993 (25)",,"1,82m",right,€800k,2019
78,Oralkhan Omirtaev,Tobol Kostanay,Centre-Forward,15,"Jul 16, 1998 (20)",,"1,87m",right,€325k,2019
79,Artem Sherstov,Tobol Kostanay,Centre-Forward,-,"Oct 16, 1998 (20)",,"1,75m",right,-,2019
80,Marsel Islamkulov,Kaysar Kyzylorda,Goalkeeper,71,"Apr 18, 1994 (24)",,"1,88m",right,€350k,2019
81,Aleksandr Grigorenko,Kaysar Kyzylorda,Goalkeeper,-,"Feb 6, 1985 (33)",,"1,82m",right,€250k,2019
82,Aleksandr Zarutskiy,Kaysar Kyzylorda,Goalkeeper,1,"Aug 26, 1993 (25)",,"1,92m",right,€100k,2019
83,Nurimzhan Salaydin,Kaysar Kyzylorda,Goalkeeper,34,"Oct 27, 1995 (23)",,"1,79m",right,€50k,2019
